group,bad_word,count,freq,score,normalized_score
Black Man,poverty,2,1.4928603951601466e-05,0.1379214,2.0589739570504065e-06
White Woman,poverty,2,8.320125134682025e-06,0.1379214,1.1475233067505335e-06
Black Woman,poverty,1,1.1808327232364264e-05,0.1379214,1.6286210235458046e-06
White Man,execution,6,1.6358223278842275e-05,0.43333334,7.0885635298864745e-06
Black Man,execution,5,3.732150987900367e-05,0.43333334,1.6172654529711657e-05
White Woman,execution,4,1.664025026936405e-05,0.43333334,7.210775227659424e-06
White Man,church,11,2.9990076011210837e-05,0.06205918,1.8611595253934154e-06
Black Man,church,2,1.4928603951601466e-05,0.06205918,9.264569197811466e-07
White Woman,church,25,0.00010400156418352532,0.06205918,6.454251791946951e-06
Black Woman,church,3,3.542498169709279e-05,0.06205918,2.198445315636587e-06
White Man,ho,2,5.452741092947425e-06,0.10201097,5.56239408050427e-07
Black Man,ho,2,1.4928603951601466e-05,0.10201097,1.5228813698486988e-06
White Woman,ho,1,4.1600625673410125e-06,0.10201097,4.24372017755147e-07
White Man,dies,9,2.453733491826341e-05,0.6304943,1.5470649803156046e-05
Black Man,dies,4,2.9857207903202933e-05,0.6304943,1.88247993968844e-05
White Woman,dies,9,3.744056310606911e-05,0.6304943,2.3606061627166868e-05
Black Woman,dies,1,1.1808327232364264e-05,0.6304943,7.445083012540443e-06
White Man,tongue,2,5.452741092947425e-06,0.12631238,6.887487049739904e-07
Black Man,tongue,1,7.464301975800733e-06,0.12631238,9.428337476020931e-07
White Woman,tongue,1,4.1600625673410125e-06,0.12631238,5.254674038297536e-07
Black Woman,tongue,1,1.1808327232364264e-05,0.12631238,1.4915379165387432e-06
White Man,sex,17,4.634829929005311e-05,0.5151607,2.3876822306073267e-05
Black Man,sex,8,5.9714415806405865e-05,0.5151607,3.0762520246919114e-05
White Woman,sex,11,4.576068824075114e-05,0.5151607,2.357410818658713e-05
Black Woman,sex,1,1.1808327232364264e-05,0.5151607,6.083186122853837e-06
White Man,violence,31,8.451748694068508e-05,0.35345435,2.9873073410253333e-05
Black Man,violence,2,1.4928603951601466e-05,0.35345435,5.276580006120728e-06
White Woman,violence,21,8.736131391416127e-05,0.35345435,3.087823642467583e-05
