group,word,categories,count
White Man,moment,"['relativ', 'time']",150
White Man,supposed,"['verb', 'cogproc', 'tentat', 'focuspast']",45
White Man,marinate,[],1
White Man,pause,[],7
White Man,joke,"['affect', 'posemo', 'leisure']",27
White Man,compromises,"['drives', 'affiliation']",1
White Man,happens,"['verb', 'focuspresent']",120
White Man,irritates,"['affect', 'negemo', 'anx']",2
White Man,supporting,"['affect', 'posemo']",46
White Man,cast,[],119
White Man,characters,[],662
White Man,were,"['function', 'auxverb', 'verb', 'focuspast']",501
White Man,-,[],71
White Man,warrior,[],11
White Man,ladies,"['social', 'female']",13
White Man,tech,[],3
White Man,head,"['bio', 'body']",84
White Man,sister,"['social', 'family', 'female', 'drives', 'affiliation']",25
White Man,Lupita,[],7
White Man,Nyong'o,[],7
White Man,back,"['function', 'adverb', 'relativ', 'space', 'time']",394
White Man,ooh,[],5
White Man,ape,[],5
White Man,never,"['function', 'adverb', 'negate', 'cogproc', 'certain', 'relativ', 'time']",263
White Man,call,['social'],67
White Man,Abby's,[],1
White Man,calling,['social'],18
White Man,Tanaka,[],1
White Man,believe,"['verb', 'cogproc', 'insight', 'focuspresent']",89
White Man,pronounced,[],1
White Man,mbaku,[],2
White Man,horrible,"['adj', 'affect', 'negemo', 'anx']",15
White Man,names,['social'],25
White Man,Smith,[],9
White Man,Smyth,[],1
White Man,great,"['adj', 'affect', 'posemo', 'drives', 'reward']",754
White Man,wanted,"['verb', 'cogproc', 'discrep', 'focuspast']",161
White Man,had,"['function', 'auxverb', 'verb', 'focuspast']",529
White Man,heard,"['verb', 'social', 'percept', 'hear', 'focuspast']",76
White Man,things,"['function', 'pronoun', 'ipron']",648
White Man,monger,[],4
White Man,villain,"['affect', 'negemo', 'anger']",53
White Man,motivation,"['cogproc', 'insight', 'cause', 'drives', 'achiev', 'work']",6
White Man,clear,"['adj', 'cogproc', 'certain', 'percept', 'see']",52
White Man,understand,"['verb', 'cogproc', 'insight', 'focuspresent']",107
White Man,degree,[],15
White Man,from,"['function', 'prep']",1047
White Man,wrong,"['adj', 'affect', 'negemo', 'drives', 'risk']",90
White Man,way,"['relativ', 'space']",707
White Man,villains,"['affect', 'negemo', 'anger']",28
White Man,again,"['function', 'adverb', 'relativ', 'time']",332
White Man,say,"['verb', 'social', 'percept', 'hear', 'focuspresent']",547
White Man,half,['number'],97
White Man,found,"['verb', 'cogproc', 'insight', 'focuspast']",114
White Man,problem,"['affect', 'negemo', 'cogproc', 'discrep', 'drives', 'risk']",52
White Man,near,"['function', 'prep', 'relativ', 'space']",26
White Man,beginning,"['relativ', 'time']",106
White Man,then,"['function', 'conj', 'focusfuture', 'relativ', 'time']",612
White Man,forgot,"['verb', 'focuspast']",12
White Man,finally,"['function', 'adverb', 'relativ', 'time']",66
White Man,feeling,"['verb', 'cogproc', 'insight', 'percept', 'feel']",80
White Man,crushed,"['affect', 'negemo', 'sad', 'drives', 'power']",3
White Man,ideas,"['cogproc', 'insight']",25
White Man,idea,"['cogproc', 'insight']",114
White Man,hey,"['social', 'informal']",65
White Man,incorporate,['work'],3
White Man,Klaw,[],1
White Man,we're,"['function', 'pronoun', 'ppron', 'we', 'verb', 'social', 'drives', 'affiliation', 'focuspresent']",206
White Man,Godfather,[],17
White Man,Willing,[],1
White Man,feels,"['verb', 'cogproc', 'insight', 'percept', 'feel', 'focuspresent']",235
White Man,makes,"['verb', 'cogproc', 'cause', 'focuspresent']",244
White Man,split,"['cogproc', 'differ', 'relativ', 'space']",8
White Man,down,"['function', 'prep', 'drives', 'power', 'relativ', 'space']",341
White Man,middle,"['adj', 'compare', 'relativ', 'space']",43
White Man,season,"['relativ', 'time']",17
White Man,24,[],17
White Man,remember,"['verb', 'cogproc', 'insight', 'focuspast']",65
White Man,show,"['percept', 'see']",123
White Man,episodes,[],13
White Man,arcs,[],13
White Man,twelve,['number'],3
White Man,each,['quant'],211
White Man,episode,[],24
White Man,rolled,[],3
White Man,thirteen,['number'],1
White Man,seasons,"['relativ', 'time']",1
